iter	Logloss
0	0.6745568499
1	0.6549497768
2	0.6382646484
3	0.6218814174
4	0.6083459821
5	0.5940245536
6	0.5802237723
7	0.5675028599
8	0.5558564453
9	0.5457707868
10	0.5350709752
11	0.5258346819
12	0.5162192383
13	0.5105084403
14	0.5017104492
15	0.4948558175
16	0.4867335379
17	0.4788837193
18	0.4718027693
19	0.4652044155
20	0.4600053711
21	0.4538321359
22	0.448621582
23	0.4439545898
24	0.4408992397
25	0.4358735003
26	0.4310025112
27	0.4267014509
28	0.4217024972
29	0.4178027344
30	0.4141862793
31	0.4101307547
32	0.4064017857
33	0.4035057896
34	0.4009441616
35	0.3975807408
36	0.39528268
37	0.3933843471
38	0.391101981
39	0.3887139369
40	0.3868087333
41	0.3847556501
42	0.3827827148
43	0.380489781
44	0.3780847517
45	0.3767826451
46	0.375554269
47	0.3734477539
48	0.3723548061
49	0.3709776088
50	0.3696921735
51	0.367844029
52	0.3665601283
53	0.3651922433
54	0.3636859654
55	0.3623534459
56	0.361340332
57	0.3599027623
58	0.3584924665
59	0.3576845703
60	0.3563486328
61	0.3554244559
62	0.3545177874
63	0.3539590541
64	0.3533661063
65	0.3526673758
66	0.3519668666
67	0.3508381696
68	0.3500624302
69	0.3494149693
70	0.3485516881
71	0.347830392
72	0.347203125
73	0.3465306222
74	0.3459805385
75	0.3453733956
76	0.3447762277
77	0.3442659389
78	0.3437192383
79	0.3429309431
80	0.3421878139
81	0.3415145089
82	0.3410559431
83	0.3408655134
84	0.3401034807
85	0.3398904157
86	0.3394744001
87	0.3389513811
88	0.3383668387
89	0.3377069615
90	0.3373249163
91	0.3369201311
92	0.3364075056
93	0.3361129674
94	0.3357365025
95	0.3352975725
96	0.3349616002
97	0.3345829729
98	0.3341141881
99	0.3337939453
100	0.3334674247
101	0.333112514
102	0.3326384975
103	0.3323504464
104	0.3319950823
105	0.3316482282
106	0.3312722517
107	0.33076137
108	0.3303549456
109	0.3300968541
110	0.3298954381
111	0.3296041783
112	0.3292301897
113	0.3288867536
114	0.3284468471
115	0.3280183454
116	0.327777832
117	0.32755256
118	0.3273388672
119	0.3271432408
120	0.3267979911
121	0.3265782994
122	0.3262313058
123	0.3259440569
124	0.3255898089
125	0.3253751395
126	0.3252144252
127	0.3248963449
128	0.3245732422
129	0.3243943917
130	0.3242050084
131	0.3238141044
132	0.3236672712
133	0.3233585031
134	0.3232008929
135	0.3229488002
136	0.3226168736
137	0.3224119699
138	0.322255964
139	0.3220428641
140	0.3218060477
141	0.3216067592
142	0.3214068429
143	0.3212155413
144	0.3209622628
145	0.3207728795
146	0.320632952
147	0.3203292411
148	0.3201975098
149	0.3199047852
150	0.3197330497
151	0.3194486607
152	0.3192376186
153	0.3190871233
154	0.3188262765
155	0.3186133161
156	0.3184037737
157	0.3182283412
158	0.3178911482
159	0.3176711775
160	0.3175351911
161	0.3173566546
162	0.3172319685
163	0.3171818848
164	0.3170580008
165	0.3168621652
166	0.3167285156
167	0.3165829729
168	0.3164345703
169	0.3162866908
170	0.3160761719
171	0.315892334
172	0.3157963518
173	0.3155981097
174	0.3154432199
175	0.3152870047
176	0.3150972377
177	0.3149158064
178	0.3147964914
179	0.3145956334
180	0.3144257812
181	0.3143188477
182	0.3140328544
183	0.3139302107
184	0.3137155413
185	0.3136162807
186	0.3135925991
187	0.3135022321
188	0.313378697
189	0.3131847098
190	0.3130598145
191	0.3129399414
192	0.3127043457
193	0.3124807129
194	0.3123189174
195	0.3121202567
196	0.3119240374
197	0.3117729492
198	0.3116316267
199	0.3114737026
200	0.3113789411
201	0.3112139021
202	0.3111172573
203	0.3109987095
204	0.3108611886
205	0.3106381836
206	0.3104756557
207	0.3103609445
208	0.3102428153
209	0.3100797294
210	0.3099265485
211	0.3096789202
212	0.3094817243
213	0.309363072
214	0.3092476283
215	0.3090919364
216	0.308972168
217	0.3087716936
218	0.3086320452
219	0.3084151786
220	0.3083378209
221	0.3081182687
222	0.3079865374
223	0.3077686244
224	0.3076765137
225	0.3075735212
226	0.3073862305
227	0.307195731
228	0.3070975167
229	0.3068194406
230	0.3067358398
231	0.3065632673
232	0.3064232701
233	0.3062643694
234	0.3061748744
235	0.3059660993
236	0.305806257
237	0.3056316267
238	0.3054975935
239	0.3053208008
240	0.3052535924
241	0.3050971331
242	0.3050354353
243	0.3048798131
244	0.3047230399
245	0.3046100725
246	0.3044584263
247	0.3043434361
248	0.3042406529
249	0.3041422991
250	0.3039816197
251	0.3038483538
252	0.3037200056
253	0.3036519252
254	0.3035478516
255	0.303440918
256	0.3033594448
257	0.3032872838
258	0.3031579241
259	0.3029538574
260	0.3027522321
261	0.30259375
262	0.3024486956
263	0.3022255859
264	0.3021247907
265	0.3019617746
266	0.3018455985
267	0.3016905343
268	0.3016112932
269	0.301453404
270	0.3012982003
271	0.3011574707
272	0.3009747489
273	0.3008455636
274	0.3007488839
275	0.3005913086
276	0.3004999302
277	0.3004112723
278	0.3001820592
279	0.3000708357
280	0.2998583287
281	0.2997130999
282	0.2995956334
283	0.2994159807
284	0.2992972238
285	0.2991395787
